Epochs,mIoU,mAcc,allAcc
0,0.4758842097523752,0.5544433119002306,0.8521446152227437
1,0.6783980562402275,0.7101971221043981,0.9725091408916147
2,0.6920519586458601,0.7187758244464867,0.9766556977084498
3,0.681917725532614,0.712273388743877,0.9731857138393237
4,0.7008181873103592,0.7238925926949004,0.9797848362805183
5,0.6938646017841839,0.7209496781304249,0.9773334270316789
6,0.7124047396404279,0.7305676392534639,0.9834719231003972
7,0.7155701605912308,0.7333999184032334,0.9841857623355857
8,0.7189989503677247,0.7360587134239365,0.9846772008777165
9,0.7226241160915289,0.7393599456732801,0.9847882712395881
